id|tituloPincipal|tituloOriginal|anoLancamento|tempoMinutos|genero|notaMedia|numeroVotos|generoArtista|personagem|nomeArtista|anoNascimento|anoFalecimento|profissao|titulosMaisConhecidos
tt1650041|Bloodline|Bloodline|2013|88|Horror|4.0|375|actress|Katie|Kimberly Alexander|\N|\N|actress,producer,writer|tt0364845,tt20451734,tt15793076,tt13727766
tt1650044|The Facility|The Facility|2012|80|Horror|4.8|2321|actor|Adam|Aneurin Barnard|1987|\N|actor,soundtrack,music_department|tt3910804,tt3568088,tt3864056,tt5013056
tt1650537|Inkubus|Inkubus|2011|80|Horror|3.8|1206|actor|Detective Tom Caretti|Joey Fatone|1977|\N|producer,actor,soundtrack|tt0204946,tt3760922,tt0259446,tt0279286
tt1651123|Foreclosure|Foreclosure|2014|86|Horror|5.0|75|actor|Raymond|Bill Raymond|1938|\N|actor|tt0114746,tt0101206,tt0465538,tt0443272
tt1651314|Bane|Bane|2010|47|Horror|5.7|22|actress|Alice|Mary Werntz|\N|\N|actress|tt1494649,tt4132680,tt1651314,tt2438658
tt1651334|The Next Big Thing|The Next Big Thing|2010|90|Horror|4.4|12|actor|Jesse|Jesse Drummond|\N|\N|actor,cinematographer|tt1651334,tt2570056
tt1652207|El monstro del mar!|El monstro del mar!|2010|75|Horror|4.7|401|actress|Beretta|Nelli Scarlet|\N|\N|actress|tt1652207
tt1652303|Lake Death|Lake Death|2010|\N|Horror|5.8|16|actress|Alyssa|Rachel Zeskind|\N|\N|actress,writer,producer|tt1440310,tt1439264,tt1071782,tt0470995
tt1652379|Wicked World|Wicked World|1991|103|Horror|3.0|249|actor|Livingroom NUTBARAlleyway Thug|Kelly Felhaber|\N|\N|actor|tt20192590,tt1652379
tt16527016|Italian horror stories|Italian horror stories|2021|79|Horror|4.1|27|actor|\N|Vincenzo Della Corte|\N|\N|actor,director,writer|tt7223370,tt1295083,tt15768342
tt16540514|Deep Fear|Deep Fear|2022|80|Horror|5.1|338|actress|Sonia|Sofia Lesaffre|1997|\N|actress|tt13278100,tt3838034,tt10199590,tt10092752
tt1656197|The Speak|The Speak|2011|83|Horror|5.6|1672|actor|Jackson|Brett Donowho|\N|\N|producer,actor,director|tt8593824,tt0422783,tt1457764,tt6684714
tt1656783|Taring|Taring|2010|90|Horror|5.3|27|actor|Alex|Meidian Maladi|\N|\N|actor|tt1656783
tt1657303|Wraith Island|Wraith Island|2011|\N|Horror|5.9|13|actress|Kim Castle|Katie Barlow|\N|\N|assistant_director,actress|tt1677677,tt1657303
